complaint,category
Worst experience ever. App charged my card twice for the same single food order. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Long-time loyal customer here. Clinic lost my medical test reports and asked me to repeat all tests. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Filing a formal complaint. The bank sent my personal details to the wrong email address.,Banking & Finance
Third time complaining about this. Annual fee was deducted even though I opted for a fee-waiver account. I demand immediate resolution.,Banking & Finance
Very frustrated customer here. Warranty claim rejected even though the product failed within warranty period. Awaiting your prompt response.,E-commerce & Shopping
Third time complaining about this. Charging me for a device I returned in good condition last month. I am considering switching to a competitor.,Telecom & Internet
Worst experience ever. Order tracking has not been updated for a week and nobody knows where it is. Awaiting your prompt response.,E-commerce & Shopping
Worst experience ever. Broadband was down for five consecutive days and no technician was sent.,Telecom & Internet
Long-time loyal customer here. I have a severe nut allergy and they sent food with nuts despite instructions. I demand immediate resolution.,Food Delivery & Restaurant
Filing a formal complaint. Delivery driver marked the order as delivered but it never arrived.,Food Delivery & Restaurant
Extremely disappointed. Customer support is unreachable; I have been on hold for hours. This is absolutely unacceptable.,Telecom & Internet
Long-time loyal customer here. Received an expired product from the online grocery store. Please resolve this as a matter of urgency.,E-commerce & Shopping
Filing a formal complaint. Gift card balance deducted but the order was not placed successfully. My entire family is affected by this issue.,E-commerce & Shopping
I cannot believe this happened. Technical team closed my ticket without fixing the connectivity issue. Please resolve this as a matter of urgency.,Telecom & Internet
Third time complaining about this. My order was marked as delivered but I never received anything at my address. I am considering switching to a competitor.,E-commerce & Shopping
Filing a formal complaint. Order tracking has not been updated for a week and nobody knows where it is. I demand immediate resolution.,E-commerce & Shopping
Filing a formal complaint. Wrong items were delivered and the restaurant refused to send replacements. I demand immediate resolution.,Food Delivery & Restaurant
Very frustrated customer here. Broadband was down for five consecutive days and no technician was sent. I will escalate this to a higher authority.,Telecom & Internet
Filing a formal complaint. Pharmacy dispensed expired medicine and refused to accept responsibility. I demand immediate resolution.,Healthcare & Pharmacy
"Filing a formal complaint. Product quality was terrible, nothing like the photos shown online. My entire family is affected by this issue.",E-commerce & Shopping
Worst experience ever. Internet speed drops to zero every evening even though I pay for 100 Mbps. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. Subscription was auto-renewed without sending any reminder or notification. I demand immediate resolution.,Telecom & Internet
Very frustrated customer here. Charged a delivery fee that was not shown at the time of placing the order. I demand immediate resolution.,Food Delivery & Restaurant
Filing a formal complaint. Online doctor consultation app showed doctor available but was unresponsive. I am considering switching to a competitor.,Healthcare & Pharmacy
Third time complaining about this. My fixed deposit matured but the amount has not been credited to my account. My entire family is affected by this issue.,Banking & Finance
Long-time loyal customer here. I was prescribed the wrong medication and it caused serious side effects. I am considering switching to a competitor.,Healthcare & Pharmacy
Very frustrated customer here. Discount code was not applied at checkout despite being valid and active. This is absolutely unacceptable.,E-commerce & Shopping
I cannot believe this happened. Debit card declined at the supermarket even though I had available funds. I demand immediate resolution.,Banking & Finance
Filing a formal complaint. The bank closed my account without any reason or advance notification.,Banking & Finance
Worst experience ever. Prepaid balance disappeared from my account without any deduction history. I am considering switching to a competitor.,Telecom & Internet
Very frustrated customer here. Credit score was incorrectly reported and the bank refuses to correct it. Awaiting your prompt response.,Banking & Finance
Worst experience ever. Seller is asking for direct payment outside the platform.,E-commerce & Shopping
Long-time loyal customer here. Credit score was incorrectly reported and the bank refuses to correct it. Awaiting your prompt response.,Banking & Finance
Third time complaining about this. Packaging was torn open and it was obvious someone had tampered with the food. Awaiting your prompt response.,Food Delivery & Restaurant
I cannot believe this happened. Doctor rushed the consultation in under two minutes and barely examined me. I demand immediate resolution.,Healthcare & Pharmacy
Extremely disappointed. Insurance denied pre-authorization for a surgery recommended by my doctor. Awaiting your prompt response.,Healthcare & Pharmacy
I cannot believe this happened. Food quality has declined drastically and portions have become much smaller. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Delivery driver marked the order as delivered but it never arrived. Awaiting your prompt response.,Food Delivery & Restaurant
Extremely disappointed. Wrong items were delivered and the restaurant refused to send replacements. My entire family is affected by this issue.,Food Delivery & Restaurant
Filing a formal complaint. The bank froze my account without any prior notice and I cannot access my funds. I will escalate this to a higher authority.,Banking & Finance
Long-time loyal customer here. Size chart was completely wrong and the returned item is being refused.,E-commerce & Shopping
I cannot believe this happened. My loan application has been pending for three weeks with absolutely no update.,Banking & Finance
Third time complaining about this. My loan application has been pending for three weeks with absolutely no update.,Banking & Finance
Third time complaining about this. Internet speed drops to zero every evening even though I pay for 100 Mbps. Awaiting your prompt response.,Telecom & Internet
Extremely disappointed. Ambulance arrived thirty minutes late for an emergency call.,Healthcare & Pharmacy
Extremely disappointed. Refund for missing items was denied even though I sent photographic evidence.,Food Delivery & Restaurant
Third time complaining about this. Seller is asking for direct payment outside the platform. My entire family is affected by this issue.,E-commerce & Shopping
Filing a formal complaint. Broadband was down for five consecutive days and no technician was sent. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. Packaging was torn open and it was obvious someone had tampered with the food. I am considering switching to a competitor.,Food Delivery & Restaurant
Third time complaining about this. Restaurant accepted my order but never started preparing it for over an hour. My entire family is affected by this issue.,Food Delivery & Restaurant
Very frustrated customer here. Broadband was down for five consecutive days and no technician was sent.,Telecom & Internet
Filing a formal complaint. Lab test results took three weeks when I was told two days. My entire family is affected by this issue.,Healthcare & Pharmacy
Extremely disappointed. Health app is showing incorrect readings and support is unresponsive.,Healthcare & Pharmacy
"Worst experience ever. SMS verification codes are not delivered, blocking me from using banking apps. I am considering switching to a competitor.",Telecom & Internet
I cannot believe this happened. Health app is showing incorrect readings and support is unresponsive. My entire family is affected by this issue.,Healthcare & Pharmacy
Third time complaining about this. Restaurant accepted my order but never started preparing it for over an hour. I demand immediate resolution.,Food Delivery & Restaurant
Third time complaining about this. The bank froze my account without any prior notice and I cannot access my funds. This is absolutely unacceptable.,Banking & Finance
Extremely disappointed. My credit card was charged twice for the same transaction and nobody is helping me.,Banking & Finance
Worst experience ever. My order was marked as delivered but I never received anything at my address. Please resolve this as a matter of urgency.,E-commerce & Shopping
"Filing a formal complaint. SMS verification codes are not delivered, blocking me from using banking apps.",Telecom & Internet
Filing a formal complaint. Received items from a completely different order meant for someone else.,Food Delivery & Restaurant
Very frustrated customer here. Order tracking has not been updated for a week and nobody knows where it is. Please resolve this as a matter of urgency.,E-commerce & Shopping
Long-time loyal customer here. Refund was promised within seven days but three weeks passed with no credit. I am considering switching to a competitor.,E-commerce & Shopping
Long-time loyal customer here. Subscription box sent last month's items again instead of new products. My entire family is affected by this issue.,E-commerce & Shopping
Filing a formal complaint. Product was listed in-stock but order was cancelled after five days. I will escalate this to a higher authority.,E-commerce & Shopping
Extremely disappointed. My regular restaurant suddenly disappeared from the app without any notice. I will escalate this to a higher authority.,Food Delivery & Restaurant
Third time complaining about this. Made to wait five hours even though I had a confirmed appointment. This is absolutely unacceptable.,Healthcare & Pharmacy
Long-time loyal customer here. I ordered a laptop but received a completely different product in the package.,E-commerce & Shopping
Warranty claim rejected even though the product failed within warranty period. I will escalate this to a higher authority.,E-commerce & Shopping
Filing a formal complaint. The bank froze my account without any prior notice and I cannot access my funds. Please resolve this as a matter of urgency.,Banking & Finance
Filing a formal complaint. Subscription was auto-renewed without sending any reminder or notification. This is absolutely unacceptable.,Telecom & Internet
Interest rates were changed without informing me. This is completely unacceptable. This is absolutely unacceptable.,Banking & Finance
Customer support is unreachable; I have been on hold for hours. This is absolutely unacceptable.,Telecom & Internet
I cannot believe this happened. I have a severe nut allergy and they sent food with nuts despite instructions. I am considering switching to a competitor.,Food Delivery & Restaurant
Hospital bill contains charges for procedures that were never performed on me. Awaiting your prompt response.,Healthcare & Pharmacy
Extremely disappointed. Mental health helpline put me on hold for forty minutes during a crisis. Awaiting your prompt response.,Healthcare & Pharmacy
Very frustrated customer here. Delivery partner did not follow the contactless delivery instructions. I am considering switching to a competitor.,Food Delivery & Restaurant
Extremely disappointed. Refund was promised within seven days but three weeks passed with no credit. This is absolutely unacceptable.,E-commerce & Shopping
Lab test results took three weeks when I was told two days. This is absolutely unacceptable.,Healthcare & Pharmacy
Long-time loyal customer here. Router provided by the company is defective and replacement is taking weeks. My entire family is affected by this issue.,Telecom & Internet
Third time complaining about this. Signal strength is extremely poor inside my house despite being in coverage zone. My entire family is affected by this issue.,Telecom & Internet
I cannot believe this happened. Credit score was incorrectly reported and the bank refuses to correct it. I will escalate this to a higher authority.,Banking & Finance
Extremely disappointed. Packaging was torn open and it was obvious someone had tampered with the food. This is absolutely unacceptable.,Food Delivery & Restaurant
"Very frustrated customer here. Product quality was terrible, nothing like the photos shown online. Please resolve this as a matter of urgency.",E-commerce & Shopping
Worst experience ever. I have a severe nut allergy and they sent food with nuts despite instructions. Awaiting your prompt response.,Food Delivery & Restaurant
Filing a formal complaint. Received a bill three times higher than my usual monthly charges. Awaiting your prompt response.,Telecom & Internet
Billed for a service I never subscribed to and cancellation was denied.,Telecom & Internet
Extremely disappointed. My health insurance claim was rejected without any proper justification. I am considering switching to a competitor.,Healthcare & Pharmacy
Long-time loyal customer here. Charged shipping fee even though my order qualified for free delivery. My entire family is affected by this issue.,E-commerce & Shopping
Worst experience ever. International transaction was blocked without any prior notice.,Banking & Finance
I cannot believe this happened. My fixed deposit matured but the amount has not been credited to my account. Awaiting your prompt response.,Banking & Finance
Flash sale price was shown but full price was charged at checkout. I am considering switching to a competitor.,E-commerce & Shopping
Filing a formal complaint. Hospital bill contains charges for procedures that were never performed on me. I am considering switching to a competitor.,Healthcare & Pharmacy
Long-time loyal customer here. Fiber installation was promised in two days but it has been three weeks. I will escalate this to a higher authority.,Telecom & Internet
Worst experience ever. Wire transfer was delayed for five business days with no explanation from the bank. My entire family is affected by this issue.,Banking & Finance
Extremely disappointed. Charged a delivery fee that was not shown at the time of placing the order. My entire family is affected by this issue.,Food Delivery & Restaurant
Third time complaining about this. Billed for a service I never subscribed to and cancellation was denied. This is absolutely unacceptable.,Telecom & Internet
Filing a formal complaint. My unlimited plan was throttled to 2G speeds after just ten days. Please resolve this as a matter of urgency.,Telecom & Internet
Long-time loyal customer here. Signal strength is extremely poor inside my house despite being in coverage zone. I demand immediate resolution.,Telecom & Internet
Extremely disappointed. Credit score was incorrectly reported and the bank refuses to correct it. This is absolutely unacceptable.,Banking & Finance
Worst experience ever. Health app is showing incorrect readings and support is unresponsive. I will escalate this to a higher authority.,Healthcare & Pharmacy
I cannot believe this happened. The bank closed my account without any reason or advance notification. I demand immediate resolution.,Banking & Finance
Very frustrated customer here. Mobile app keeps logging me out and I cannot complete any transactions.,Banking & Finance
Worst experience ever. Appointment was scheduled but the doctor did not show up at the clinic. Awaiting your prompt response.,Healthcare & Pharmacy
Very frustrated customer here. Charging me for a device I returned in good condition last month. Awaiting your prompt response.,Telecom & Internet
I cannot believe this happened. Signal strength is extremely poor inside my house despite being in coverage zone. My entire family is affected by this issue.,Telecom & Internet
Long-time loyal customer here. My credit card was charged twice for the same transaction and nobody is helping me. My entire family is affected by this issue.,Banking & Finance
Third time complaining about this. Mental health helpline put me on hold for forty minutes during a crisis. Awaiting your prompt response.,Healthcare & Pharmacy
The restaurant lied about preparation time and order was two hours late. This is absolutely unacceptable.,Food Delivery & Restaurant
Extremely disappointed. Hospital discharged me prematurely and my condition worsened within 24 hours. I am considering switching to a competitor.,Healthcare & Pharmacy
Extremely disappointed. Gift card balance deducted but the order was not placed successfully. I am considering switching to a competitor.,E-commerce & Shopping
I cannot believe this happened. Fiber installation was promised in two days but it has been three weeks. This is absolutely unacceptable.,Telecom & Internet
Worst experience ever. Delivery partner did not follow the contactless delivery instructions. I demand immediate resolution.,Food Delivery & Restaurant
I cannot believe this happened. The bank closed my account without any reason or advance notification. This is absolutely unacceptable.,Banking & Finance
Extremely disappointed. Data rollover feature was removed without any notification or consent. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. Nurse administered incorrect dosage of injection and hospital denied the mistake. Awaiting your prompt response.,Healthcare & Pharmacy
Product was listed in-stock but order was cancelled after five days. I am considering switching to a competitor.,E-commerce & Shopping
Size chart was completely wrong and the returned item is being refused. Awaiting your prompt response.,E-commerce & Shopping
Filing a formal complaint. Fiber installation was promised in two days but it has been three weeks. My entire family is affected by this issue.,Telecom & Internet
Very frustrated customer here. Technical team closed my ticket without fixing the connectivity issue. This is absolutely unacceptable.,Telecom & Internet
Long-time loyal customer here. I have a severe nut allergy and they sent food with nuts despite instructions.,Food Delivery & Restaurant
Third time complaining about this. Cheque bounced due to a bank error even though funds were available. Please resolve this as a matter of urgency.,Banking & Finance
Extremely disappointed. My health insurance claim was rejected without any proper justification. This is absolutely unacceptable.,Healthcare & Pharmacy
Doctor rushed the consultation in under two minutes and barely examined me. I am considering switching to a competitor.,Healthcare & Pharmacy
I cannot believe this happened. Prescription delivery from online pharmacy arrived three weeks late. I am considering switching to a competitor.,Healthcare & Pharmacy
Third time complaining about this. App charged my card twice for the same single food order.,Food Delivery & Restaurant
Long-time loyal customer here. Return request was rejected without any valid reason by the seller. Please resolve this as a matter of urgency.,E-commerce & Shopping
Filing a formal complaint. My unlimited plan was throttled to 2G speeds after just ten days. Awaiting your prompt response.,Telecom & Internet
Long-time loyal customer here. Delivery partner was extremely rude and threw the food bag at my doorstep. I am considering switching to a competitor.,Food Delivery & Restaurant
Extremely disappointed. Network outage in my entire neighborhood has lasted more than 48 hours. I demand immediate resolution.,Telecom & Internet
Long-time loyal customer here. Network outage in my entire neighborhood has lasted more than 48 hours. This is absolutely unacceptable.,Telecom & Internet
Flash sale price was shown but full price was charged at checkout. I am considering switching to a competitor.,E-commerce & Shopping
I cannot believe this happened. My loan application has been pending for three weeks with absolutely no update. My entire family is affected by this issue.,Banking & Finance
Very frustrated customer here. Seller sent a counterfeit product and the platform is taking no action. Awaiting your prompt response.,E-commerce & Shopping
Return request was rejected without any valid reason by the seller.,E-commerce & Shopping
Extremely disappointed. Order was cancelled after thirty minutes of waiting without explanation. This is absolutely unacceptable.,Food Delivery & Restaurant
"Third time complaining about this. SMS verification codes are not delivered, blocking me from using banking apps.",Telecom & Internet
I cannot believe this happened. Call dropping issue persists in my area since two months with no resolution. This is absolutely unacceptable.,Telecom & Internet
Hospital discharged me prematurely and my condition worsened within 24 hours. I will escalate this to a higher authority.,Healthcare & Pharmacy
I cannot believe this happened. Pharmacy dispensed expired medicine and refused to accept responsibility. I demand immediate resolution.,Healthcare & Pharmacy
I cannot believe this happened. Debit card declined at the supermarket even though I had available funds. This is absolutely unacceptable.,Banking & Finance
Extremely disappointed. Annual fee was deducted even though I opted for a fee-waiver account.,Banking & Finance
No cutlery or napkins included even though I specifically requested them.,Food Delivery & Restaurant
Filing a formal complaint. Size chart was completely wrong and the returned item is being refused.,E-commerce & Shopping
Third time complaining about this. Overdraft fee charged even though I had sufficient balance in my account. Please resolve this as a matter of urgency.,Banking & Finance
Subscription box sent last month's items again instead of new products. I am considering switching to a competitor.,E-commerce & Shopping
Made to wait five hours even though I had a confirmed appointment. I will escalate this to a higher authority.,Healthcare & Pharmacy
Extremely disappointed. Received items from a completely different order meant for someone else. This is absolutely unacceptable.,Food Delivery & Restaurant
Third time complaining about this. Insurance denied pre-authorization for a surgery recommended by my doctor. I will escalate this to a higher authority.,Healthcare & Pharmacy
Worst experience ever. Broadband was down for five consecutive days and no technician was sent. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. Network outage in my entire neighborhood has lasted more than 48 hours.,Telecom & Internet
Received an expired product from the online grocery store. I demand immediate resolution.,E-commerce & Shopping
Filing a formal complaint. The food smelled rotten and appeared cooked several hours before delivery. I will escalate this to a higher authority.,Food Delivery & Restaurant
Extremely disappointed. Pharmacy kept my prescription but claimed they never received it. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Long-time loyal customer here. Cheque bounced due to a bank error even though funds were available. I demand immediate resolution.,Banking & Finance
Mobile app keeps logging me out and I cannot complete any transactions. I demand immediate resolution.,Banking & Finance
I cannot believe this happened. My regular restaurant suddenly disappeared from the app without any notice. My entire family is affected by this issue.,Food Delivery & Restaurant
Filing a formal complaint. Ambulance arrived thirty minutes late for an emergency call.,Healthcare & Pharmacy
Billed for a service I never subscribed to and cancellation was denied. Please resolve this as a matter of urgency.,Telecom & Internet
I cannot believe this happened. Restaurant accepted my order but never started preparing it for over an hour.,Food Delivery & Restaurant
Worst experience ever. Online banking portal crashes every time I try to transfer money. I am considering switching to a competitor.,Banking & Finance
Worst experience ever. My food order arrived two hours late and was completely cold when delivered. I am considering switching to a competitor.,Food Delivery & Restaurant
Third time complaining about this. Mental health helpline put me on hold for forty minutes during a crisis.,Healthcare & Pharmacy
Extremely disappointed. My food order arrived two hours late and was completely cold when delivered.,Food Delivery & Restaurant
I ordered a laptop but received a completely different product in the package. I demand immediate resolution.,E-commerce & Shopping
Extremely disappointed. My account was hacked and fraudulent orders were placed using my saved card. I will escalate this to a higher authority.,E-commerce & Shopping
Worst experience ever. Insurance denied pre-authorization for a surgery recommended by my doctor. My entire family is affected by this issue.,Healthcare & Pharmacy
Bank teller was extremely rude and refused to process my cheque. I am considering switching to a competitor.,Banking & Finance
Filing a formal complaint. Return request was rejected without any valid reason by the seller. This is absolutely unacceptable.,E-commerce & Shopping
Bank teller was extremely rude and refused to process my cheque. Please resolve this as a matter of urgency.,Banking & Finance
Very frustrated customer here. Charged shipping fee even though my order qualified for free delivery. I will escalate this to a higher authority.,E-commerce & Shopping
"SMS verification codes are not delivered, blocking me from using banking apps. My entire family is affected by this issue.",Telecom & Internet
I ordered a laptop but received a completely different product in the package. This is absolutely unacceptable.,E-commerce & Shopping
Interest rates were changed without informing me. This is completely unacceptable. I demand immediate resolution.,Banking & Finance
Worst experience ever. My mobile data was exhausted without usage and the company refuses to refund. Awaiting your prompt response.,Telecom & Internet
Long-time loyal customer here. My health insurance claim was rejected without any proper justification.,Healthcare & Pharmacy
Long-time loyal customer here. Technical team closed my ticket without fixing the connectivity issue. Please resolve this as a matter of urgency.,Telecom & Internet
Filing a formal complaint. Customer service chatbot is useless and no human agent is available.,E-commerce & Shopping
I cannot believe this happened. Clinic lost my medical test reports and asked me to repeat all tests. I am considering switching to a competitor.,Healthcare & Pharmacy
Filing a formal complaint. The bank froze my account without any prior notice and I cannot access my funds. My entire family is affected by this issue.,Banking & Finance
Extremely disappointed. Discount code was not applied at checkout despite being valid and active. I demand immediate resolution.,E-commerce & Shopping
Filing a formal complaint. Seller is asking for direct payment outside the platform. I demand immediate resolution.,E-commerce & Shopping
Worst experience ever. Network outage in my entire neighborhood has lasted more than 48 hours. This is absolutely unacceptable.,Telecom & Internet
Third time complaining about this. My account was hacked and fraudulent orders were placed using my saved card. This is absolutely unacceptable.,E-commerce & Shopping
Very frustrated customer here. ATM swallowed my card and the helpline kept me on hold for over two hours. I am considering switching to a competitor.,Banking & Finance
I cannot believe this happened. No cutlery or napkins included even though I specifically requested them. Awaiting your prompt response.,Food Delivery & Restaurant
Extremely disappointed. My mobile data was exhausted without usage and the company refuses to refund. My entire family is affected by this issue.,Telecom & Internet
Third time complaining about this. Unauthorized transactions appeared on my statement and the bank refuses to investigate. This is absolutely unacceptable.,Banking & Finance
I cannot believe this happened. My mobile data was exhausted without usage and the company refuses to refund. This is absolutely unacceptable.,Telecom & Internet
Extremely disappointed. Charged international roaming rates even though I was in the home country. I will escalate this to a higher authority.,Telecom & Internet
Very frustrated customer here. Prepaid balance disappeared from my account without any deduction history. Awaiting your prompt response.,Telecom & Internet
Long-time loyal customer here. Lab test results took three weeks when I was told two days. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Extremely disappointed. Product was listed in-stock but order was cancelled after five days. My entire family is affected by this issue.,E-commerce & Shopping
I cannot believe this happened. I have a severe nut allergy and they sent food with nuts despite instructions. I will escalate this to a higher authority.,Food Delivery & Restaurant
Fiber installation was promised in two days but it has been three weeks. Awaiting your prompt response.,Telecom & Internet
Worst experience ever. Refund for missing items was denied even though I sent photographic evidence. I will escalate this to a higher authority.,Food Delivery & Restaurant
Extremely disappointed. International transaction was blocked without any prior notice. Please resolve this as a matter of urgency.,Banking & Finance
Filing a formal complaint. Mobile app keeps logging me out and I cannot complete any transactions.,Banking & Finance
Very frustrated customer here. Flash sale price was shown but full price was charged at checkout. I will escalate this to a higher authority.,E-commerce & Shopping
Third time complaining about this. Food quality has declined drastically and portions have become much smaller. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Long-time loyal customer here. Refund was promised within seven days but three weeks passed with no credit. Awaiting your prompt response.,E-commerce & Shopping
I cannot believe this happened. Received an expired product from the online grocery store. I am considering switching to a competitor.,E-commerce & Shopping
Received a bill three times higher than my usual monthly charges. My entire family is affected by this issue.,Telecom & Internet
Filing a formal complaint. The bank closed my account without any reason or advance notification. Awaiting your prompt response.,Banking & Finance
Very frustrated customer here. Delivery driver marked the order as delivered but it never arrived. This is absolutely unacceptable.,Food Delivery & Restaurant
My mobile data was exhausted without usage and the company refuses to refund. I demand immediate resolution.,Telecom & Internet
Very frustrated customer here. My account was hacked and fraudulent orders were placed using my saved card. My entire family is affected by this issue.,E-commerce & Shopping
Extremely disappointed. My food order arrived two hours late and was completely cold when delivered. Awaiting your prompt response.,Food Delivery & Restaurant
Filing a formal complaint. Annual fee was deducted even though I opted for a fee-waiver account. Awaiting your prompt response.,Banking & Finance
I cannot believe this happened. Promo code was accepted but full price was charged on my final bill. I demand immediate resolution.,Food Delivery & Restaurant
Long-time loyal customer here. Customer support is unreachable; I have been on hold for hours. Awaiting your prompt response.,Telecom & Internet
Worst experience ever. Received a bill three times higher than my usual monthly charges. Please resolve this as a matter of urgency.,Telecom & Internet
Worst experience ever. Interest rates were changed without informing me. This is completely unacceptable. My entire family is affected by this issue.,Banking & Finance
Long-time loyal customer here. Mobile app keeps logging me out and I cannot complete any transactions. I demand immediate resolution.,Banking & Finance
I cannot believe this happened. I ordered a laptop but received a completely different product in the package. I demand immediate resolution.,E-commerce & Shopping
I cannot believe this happened. Subscription was auto-renewed without sending any reminder or notification. Please resolve this as a matter of urgency.,Telecom & Internet
Worst experience ever. Restaurant accepted my order but never started preparing it for over an hour. I am considering switching to a competitor.,Food Delivery & Restaurant
Worst experience ever. Gift card balance deducted but the order was not placed successfully.,E-commerce & Shopping
Very frustrated customer here. No cutlery or napkins included even though I specifically requested them. I will escalate this to a higher authority.,Food Delivery & Restaurant
Third time complaining about this. Gift card balance deducted but the order was not placed successfully. I am considering switching to a competitor.,E-commerce & Shopping
I cannot believe this happened. Pharmacy kept my prescription but claimed they never received it. I demand immediate resolution.,Healthcare & Pharmacy
Worst experience ever. Billed for a service I never subscribed to and cancellation was denied. I will escalate this to a higher authority.,Telecom & Internet
Extremely disappointed. The bank closed my account without any reason or advance notification. Please resolve this as a matter of urgency.,Banking & Finance
Charged a delivery fee that was not shown at the time of placing the order. I will escalate this to a higher authority.,Food Delivery & Restaurant
Long-time loyal customer here. Online doctor consultation app showed doctor available but was unresponsive. My entire family is affected by this issue.,Healthcare & Pharmacy
Very frustrated customer here. Packaging was torn open and it was obvious someone had tampered with the food. I will escalate this to a higher authority.,Food Delivery & Restaurant
Worst experience ever. Credit score was incorrectly reported and the bank refuses to correct it. I am considering switching to a competitor.,Banking & Finance
Extremely disappointed. Broadband was down for five consecutive days and no technician was sent.,Telecom & Internet
Third time complaining about this. Prepaid balance disappeared from my account without any deduction history. My entire family is affected by this issue.,Telecom & Internet
Worst experience ever. Customer care is not responding to my complaint about the spoiled food.,Food Delivery & Restaurant
Very frustrated customer here. Received items from a completely different order meant for someone else.,Food Delivery & Restaurant
Very frustrated customer here. App charged my card twice for the same single food order. I demand immediate resolution.,Food Delivery & Restaurant
I cannot believe this happened. Doctor rushed the consultation in under two minutes and barely examined me. I am considering switching to a competitor.,Healthcare & Pharmacy
Extremely disappointed. Promo code was accepted but full price was charged on my final bill. This is absolutely unacceptable.,Food Delivery & Restaurant
Third time complaining about this. Online doctor consultation app showed doctor available but was unresponsive. This is absolutely unacceptable.,Healthcare & Pharmacy
Filing a formal complaint. Restaurant accepted my order but never started preparing it for over an hour. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Worst experience ever. My credit card was charged twice for the same transaction and nobody is helping me. I am considering switching to a competitor.,Banking & Finance
Very frustrated customer here. Mental health helpline put me on hold for forty minutes during a crisis. My entire family is affected by this issue.,Healthcare & Pharmacy
Filing a formal complaint. My loan application has been pending for three weeks with absolutely no update. I am considering switching to a competitor.,Banking & Finance
Long-time loyal customer here. Prescription delivery from online pharmacy arrived three weeks late. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Long-time loyal customer here. International transaction was blocked without any prior notice. I demand immediate resolution.,Banking & Finance
Worst experience ever. The restaurant lied about preparation time and order was two hours late.,Food Delivery & Restaurant
Filing a formal complaint. My mobile data was exhausted without usage and the company refuses to refund. I am considering switching to a competitor.,Telecom & Internet
Long-time loyal customer here. Interest rates were changed without informing me. This is completely unacceptable. My entire family is affected by this issue.,Banking & Finance
I cannot believe this happened. The food smelled rotten and appeared cooked several hours before delivery. Awaiting your prompt response.,Food Delivery & Restaurant
Online banking portal crashes every time I try to transfer money. My entire family is affected by this issue.,Banking & Finance
Third time complaining about this. Pharmacy kept my prescription but claimed they never received it. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
Extremely disappointed. Nurse administered incorrect dosage of injection and hospital denied the mistake.,Healthcare & Pharmacy
Filing a formal complaint. My food order arrived two hours late and was completely cold when delivered. I will escalate this to a higher authority.,Food Delivery & Restaurant
Long-time loyal customer here. Received a bill three times higher than my usual monthly charges. My entire family is affected by this issue.,Telecom & Internet
Extremely disappointed. Restaurant accepted my order but never started preparing it for over an hour. This is absolutely unacceptable.,Food Delivery & Restaurant
Extremely disappointed. Data rollover feature was removed without any notification or consent. My entire family is affected by this issue.,Telecom & Internet
Extremely disappointed. ATM swallowed my card and the helpline kept me on hold for over two hours. My entire family is affected by this issue.,Banking & Finance
Third time complaining about this. Delivery partner did not follow the contactless delivery instructions. Awaiting your prompt response.,Food Delivery & Restaurant
Long-time loyal customer here. Size chart was completely wrong and the returned item is being refused. This is absolutely unacceptable.,E-commerce & Shopping
"Third time complaining about this. Product quality was terrible, nothing like the photos shown online. I demand immediate resolution.",E-commerce & Shopping
Extremely disappointed. Data rollover feature was removed without any notification or consent. My entire family is affected by this issue.,Telecom & Internet
Unauthorized transactions appeared on my statement and the bank refuses to investigate. Please resolve this as a matter of urgency.,Banking & Finance
Long-time loyal customer here. Charged for a specialist visit but I only saw a general practitioner. This is absolutely unacceptable.,Healthcare & Pharmacy
I cannot believe this happened. Return request was rejected without any valid reason by the seller. Awaiting your prompt response.,E-commerce & Shopping
Long-time loyal customer here. Gift card balance deducted but the order was not placed successfully. This is absolutely unacceptable.,E-commerce & Shopping
Third time complaining about this. Pharmacy kept my prescription but claimed they never received it.,Healthcare & Pharmacy
Filing a formal complaint. Medical records were shared with a third party without my consent. My entire family is affected by this issue.,Healthcare & Pharmacy
Very frustrated customer here. Hospital bill contains charges for procedures that were never performed on me. Awaiting your prompt response.,Healthcare & Pharmacy
Very frustrated customer here. Call dropping issue persists in my area since two months with no resolution. Please resolve this as a matter of urgency.,Telecom & Internet
Third time complaining about this. Medical records were shared with a third party without my consent.,Healthcare & Pharmacy
Extremely disappointed. Hospital bill contains charges for procedures that were never performed on me. This is absolutely unacceptable.,Healthcare & Pharmacy
Long-time loyal customer here. Delivery driver marked the order as delivered but it never arrived.,Food Delivery & Restaurant
Extremely disappointed. Pharmacy kept my prescription but claimed they never received it.,Healthcare & Pharmacy
Lab test results took three weeks when I was told two days. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
